No.                      TimeTemperature°C
673              2020/4/5 6:56:49      21.5
674              2020/4/5 6:57:19      21.5
675              2020/4/5 6:57:49      21.5
676              2020/4/5 6:58:19      21.5
677              2020/4/5 6:58:49      21.5
678              2020/4/5 6:59:19      21.5
679              2020/4/5 6:59:49      21.5
680              2020/4/5 7:00:19      21.5
681              2020/4/5 7:00:49      21.5
682              2020/4/5 7:01:19      21.5
683              2020/4/5 7:01:49      21.5
684              2020/4/5 7:02:19      21.5
685              2020/4/5 7:02:49      21.5
686              2020/4/5 7:03:19      21.5
687              2020/4/5 7:03:49      21.5
688              2020/4/5 7:04:19      21.5
689              2020/4/5 7:04:49      21.5
690              2020/4/5 7:05:19      21.5
691              2020/4/5 7:05:49      21.5
692              2020/4/5 7:06:19      21.5
693              2020/4/5 7:06:49      21.5
694              2020/4/5 7:07:19      21.5
695              2020/4/5 7:07:49      21.5
696              2020/4/5 7:08:19      21.5
697              2020/4/5 7:08:49      21.5
698              2020/4/5 7:09:19      21.5
699              2020/4/5 7:09:49      21.5
700              2020/4/5 7:10:19      21.5
701              2020/4/5 7:10:49      21.5
702              2020/4/5 7:11:19      21.5
703              2020/4/5 7:11:49      21.5
704              2020/4/5 7:12:19      21.5
705              2020/4/5 7:12:49      21.5
706              2020/4/5 7:13:19      21.5
707              2020/4/5 7:13:49      21.5
708              2020/4/5 7:14:19      21.5
709              2020/4/5 7:14:49      21.5
710              2020/4/5 7:15:19      21.5
711              2020/4/5 7:15:49      21.5
712              2020/4/5 7:16:19      21.4
713              2020/4/5 7:16:49      21.4
714              2020/4/5 7:17:19      21.4
715              2020/4/5 7:17:49      21.4
716              2020/4/5 7:18:19      21.4
717              2020/4/5 7:18:49      21.4
718              2020/4/5 7:19:19      21.4
719              2020/4/5 7:19:49      21.4
720              2020/4/5 7:20:19      21.4
721              2020/4/5 7:20:49      21.4
722              2020/4/5 7:21:19      21.4
723              2020/4/5 7:21:49      21.4
724              2020/4/5 7:22:19      21.4
725              2020/4/5 7:22:49      21.4
726              2020/4/5 7:23:19      21.4
727              2020/4/5 7:23:49      21.4
728              2020/4/5 7:24:19      21.4
729              2020/4/5 7:24:49      21.4
730              2020/4/5 7:25:19      21.4
731              2020/4/5 7:25:49      21.4
732              2020/4/5 7:26:19      21.4
733              2020/4/5 7:26:49      21.4
734              2020/4/5 7:27:19      21.4
735              2020/4/5 7:27:49      21.4
736              2020/4/5 7:28:19      21.4
737              2020/4/5 7:28:49      21.4
738              2020/4/5 7:29:19      21.4
739              2020/4/5 7:29:49      21.4
740              2020/4/5 7:30:19      21.4
741              2020/4/5 7:30:49      21.4
742              2020/4/5 7:31:19      21.4
743              2020/4/5 7:31:49      21.4
744              2020/4/5 7:32:19      21.4
745              2020/4/5 7:32:49      21.4
746              2020/4/5 7:33:19      21.4
747              2020/4/5 7:33:49      21.4
748              2020/4/5 7:34:19      21.4
749              2020/4/5 7:34:49      21.4
750              2020/4/5 7:35:19      21.4
751              2020/4/5 7:35:49      21.4
752              2020/4/5 7:36:19      21.4
753              2020/4/5 7:36:49      21.4
754              2020/4/5 7:37:19      21.4
755              2020/4/5 7:37:49      21.4
756              2020/4/5 7:38:19      21.4
757              2020/4/5 7:38:49      21.4
758              2020/4/5 7:39:19      21.4
759              2020/4/5 7:39:49      21.4
760              2020/4/5 7:40:19      21.4
761              2020/4/5 7:40:49      21.4
762              2020/4/5 7:41:19      21.4
763              2020/4/5 7:41:49      21.4
764              2020/4/5 7:42:19      21.4
765              2020/4/5 7:42:49      21.4
766              2020/4/5 7:43:19      21.4
767              2020/4/5 7:43:49      21.4
768              2020/4/5 7:44:19      21.4
769              2020/4/5 7:44:49      21.4
770              2020/4/5 7:45:19      21.4
771              2020/4/5 7:45:49      21.4
772              2020/4/5 7:46:19      21.4
773              2020/4/5 7:46:49      21.4
774              2020/4/5 7:47:19      21.3
775              2020/4/5 7:47:49      21.3
776              2020/4/5 7:48:19      21.3
777              2020/4/5 7:48:49      21.3
778              2020/4/5 7:49:19      21.3
